Time,Mean direction of total swell,Mean direction of wind waves,Mean period of total swell,Mean period of wind waves,Mean wave direction,Mean wave direction of first swell partition,Mean wave direction of second swell partition,Mean wave direction of third swell partition,Mean wave period,Mean wave period of first swell partition,Mean wave period of second swell partition,Mean wave period of third swell partition,Significant height of combined wind waves and swell,Significant height of total swell,Significant height of wind waves,Significant wave height of first swell partition,Significant wave height of second swell partition,Significant wave height of third swell partition
12/07/2022 00:19,237.6791688,308.2495771,11.46025638,1.986778246,237.7073223,237.4490961,125.7508791,350.1036104,11.44884753,11.40656038,9.031169292,0,3.506794399,3.499026464,0.221707077,3.299784104,0.051485854,0
12/07/2022 01:19,237.3770296,311.3259192,11.64037691,1.935533672,237.3996891,237.2238645,125.7124248,357.2176392,11.63105709,11.58010908,9.036031413,0,3.577284284,3.571100254,0.200280115,3.378200223,0.049531548,0
12/07/2022 02:19,237.8879195,267.3397194,11.97452999,2.053706214,237.91058,237.8061707,95.22919687,101.7113896,11.96377846,12.0009956,7.973436905,22.82500739,4.005170254,4.003105298,0.131040924,4.024213689,0.162948684,0.002867056
12/07/2022 03:19,237.6571951,276.920328,12.14330792,1.937722052,237.6853485,237.6193932,110.0780282,101.3982624,12.13591191,12.16465079,8.827844219,22.77152406,4.055343505,4.054023826,0.108374386,4.074676594,0.141383929,0.002867056
12/07/2022 04:19,237.4759116,289.4619158,12.31163214,1.916020614,237.4985712,237.460083,114.5167466,101.6125073,12.30468667,12.32706929,9.18985125,22.77019803,4.104810092,4.10348337,0.106249398,4.1238154,0.131949348,0.002788507
12/07/2022 05:19,238.5196651,289.264151,12.51262307,2.758729433,238.6961434,238.196206,93.44931475,125.6628688,12.46926304,12.50020576,9.367097672,8.971497803,4.298613109,4.288774287,0.275185941,4.259314922,0.12635599,0.092531286
12/07/2022 06:19,238.3164078,284.429899,12.78030849,2.825110305,238.4928857,238.0478827,94.05908918,125.9210613,12.73439055,12.75166587,9.399364477,8.968403726,4.395602951,4.385213103,0.28882128,4.350824915,0.125277752,0.092609836
12/07/2022 07:19,238.2779537,287.1656461,12.93093826,2.793378789,238.4544316,238.0094285,94.03711533,126.1243193,12.88616188,12.90254194,9.411740785,8.985200145,4.432526225,4.422417185,0.285810881,4.388929558,0.122582157,0.089860604
12/07/2022 08:19,239.4150958,288.3247679,13.10606805,3.623504421,240.1354275,239.5146351,87.69216519,125.9869828,12.94200029,13.17543799,9.505889134,8.983432101,4.58887597,4.54832747,0.597829946,4.588868592,0.171978925,0.084794163
12/07/2022 09:19,239.4480564,291.7032509,13.24376724,3.685690898,240.2452965,239.6080239,87.65920441,126.1353062,13.06711192,13.29993136,9.517381421,8.996692432,4.610252602,4.567148358,0.622621472,4.605199153,0.169418111,0.082516228
12/07/2022 10:19,239.2777598,293.2139546,13.50283229,4.046044204,240.5474363,239.3827922,88.21404421,126.8659362,13.23609659,13.55716269,9.529315718,9.104985133,4.677739159,4.610771968,0.780755993,4.635212077,0.16476821,0.080277568
12/07/2022 11:19,240.1512167,289.4619158,13.69180006,4.793558476,242.7558035,239.9980592,86.51107058,137.2211055,13.15107946,13.73442146,9.583683075,8.167037735,4.790452309,4.642869607,1.181139141,4.641244086,0.170159399,0.129763739
12/07/2022 12:19,240.1017757,289.8849129,13.80205016,4.928326235,243.2941616,239.9266443,86.44514902,137.155184,13.14730092,13.84489901,9.597385416,8.174109911,4.805115618,4.624340515,1.305450936,4.623295181,0.168002924,0.126032639
12/07/2022 13:19,240.7829622,291.1154498,13.88076782,5.485816142,246.1342756,240.4100683,84.83556427,136.7431746,12.86370056,13.91662698,9.647332662,8.22538319,4.922245427,4.612522748,1.712563213,4.611378285,0.169148551,0.116213954
12/07/2022 14:19,240.0083872,284.0563431,14.15140232,6.060265998,247.3098741,239.6519715,85.36293675,136.5234363,12.67519343,14.19488202,9.658824949,8.197094485,4.988848652,4.506600539,2.130300429,4.525458935,0.16503777,0.112443579
12/07/2022 15:19,239.9149988,283.303738,14.13370786,6.18135638,248.2822148,239.5421024,85.25856094,135.9136624,12.46800353,14.21879135,9.675179357,8.237317488,5.028068588,4.465457201,2.302424454,4.482352138,0.162948684,0.107848435
12/07/2022 16:19,239.5798989,283.2872576,14.0114346,6.391987993,249.3754115,238.9378224,90.26310603,140.7094517,12.17243779,14.19240864,9.692859798,7.438603563,5.102268468,4.441238073,2.508725368,4.433654699,0.170159399,0.083183898
12/07/2022 17:19,239.5414449,284.5507553,13.89052246,6.890938725,252.720923,238.6027216,91.97157312,110.9239195,11.70116998,14.05513616,9.745901121,4.045284914,5.289534829,4.383024628,2.959399898,4.380837838,0.170024619,0.047011863
12/07/2022 18:19,238.569106,283.2707772,13.94360584,7.16466864,253.7152375,237.2513317,91.33433138,95.52026182,11.51245294,14.15613243,9.772863794,4.098326237,5.341121412,4.273163163,3.200763114,4.255342624,0.166116008,0.047718808
12/07/2022 19:19,238.3603553,284.2870688,13.81203165,7.202235837,254.5832027,236.8832703,90.62567461,80.6329892,11.34787656,14.06502967,9.799384456,4.081087807,5.390234665,4.264555159,3.293377172,4.237246596,0.162476955,0.049564721
12/07/2022 20:19,237.2342002,281.4194784,13.80636034,7.881727951,257.6870024,235.0814171,89.219348,73.56840154,10.99122444,14.1404677,9.906351124,4.196452685,5.713180806,4.137915383,3.939019347,4.124698133,0.149875051,0.052903074
12/07/2022 21:19,236.6024546,281.4414523,13.72446675,7.984034735,258.1594391,234.5430585,88.4997043,71.79401443,10.90263869,14.04689156,9.935965863,4.193358608,5.774837373,4.115738832,4.05022705,4.123962522,0.145966439,0.053020898
12/07/2022 22:19,236.7782447,281.2436874,13.59879071,8.015583886,258.0440767,234.0486475,87.81851485,68.81655991,10.88374599,13.96156002,9.954088315,4.140759295,5.805577322,4.160091934,4.049341639,4.148531926,0.141586098,0.051096436
12/07/2022 23:19,234.4435329,279.7439706,13.82813814,8.694528905,260.6479723,231.1645837,84.11592057,61.51575352,10.84029279,14.3709041,10.11674837,4.701671288,6.179756713,3.98603519,4.718181599,3.954772023,0.127703787,0.06480332
13/07/2022 00:19,233.4876744,279.4308429,13.82541592,8.789541088,260.7358675,228.8298654,85.48379294,69.1626478,10.82349928,14.33916242,10.13487082,4.59912473,6.285933207,3.981950036,4.858430804,3.889449777,0.12143653,0.065313892
13/07/2022 01:19,232.2901045,277.9805673,13.80091589,8.99178391,260.4721818,228.209105,85.74747918,77.22155146,10.82517863,14.2319827,10.17951394,4.567299936,6.419316323,3.962691453,5.050033885,3.97154395,0.114360594,0.058597911
13/07/2022 02:19,232.0648735,277.7058939,13.78163347,9.065824113,260.4337277,228.0552883,85.29701519,80.07265643,10.84847962,14.24517405,10.20691862,4.546525418,6.490159541,3.988223666,5.119450159,4.013915136,0.11132805,0.057419669
13/07/2022 03:19,232.1362882,275.6403499,13.92976786,9.5399732,262.0433087,339.2538021,43.34343582,84.25867183,10.96015645,27.55936865,5.959634669,10.27454631,6.852678951,3.897328987,5.636530562,3.897688619,0.160657429,0.101328828
13/07/2022 04:19,234.5479082,274.5416562,13.89165672,9.492375926,261.0215269,339.2702824,44.55749121,83.89061011,11.04601326,27.56184203,6.105056297,10.29885692,6.875468914,4.079993734,5.53152074,3.944620593,0.153985833,0.098618871
13/07/2022 05:19,237.2177199,271.8333764,13.74011954,9.482892945,258.9065484,230.4449411,39.33870106,84.33008679,11.17070505,14.45087666,5.957424614,10.34438405,6.88006224,4.322768605,5.345407212,4.49059098,0.128916804,0.093277506
